canonical_name,category,source_candidates,reason
Jasmine,Testing,Jasmine; Unit testing with Jasmine or protractor,"Specific, identifiable JavaScript testing framework."
Java,Programming Language,Java; Java 8+,"Specific, identifiable programming language."
Jenkins,DevOps,Jenkins,"Specific, identifiable CI/CD automation server."
Karma,Testing,Karma,"Specific, identifiable JavaScript test runner."
Keras,AI/ML,Keras,"Specific, identifiable deep-learning library."
Kubernetes,DevOps,Kubernetes,"Specific, identifiable container-orchestration platform."
Linux,Operating System,Linux,"Specific, identifiable operating system family."
Machine Learning,AI/ML,Machine Learning,"Corrected from earlier possible_skill: a broad but specific, universally recognized technical field/skill area, routinely listed as a discrete skill; should not be left uncertain without a concrete reason."
Microservices,Software Engineering,Micro-services pattern,"Specific, well-recognized architectural pattern."
Microsoft IIS,Web Technology,Microsoft IIS,"Specific, identifiable web server product."
MongoDB,Database,MongoDB,"Specific, identifiable NoSQL database."
Microsoft SQL Server,Database,MsSQL,Common abbreviation for Microsoft SQL Server.
Mule (MuleSoft),Other,Mule,"Specific, identifiable integration/ESB platform (MuleSoft)."
MySQL,Database,MySQL,"Specific, identifiable relational database."
NTP,Networking,NTP,"Specific, identifiable networking protocol (Network Time Protocol)."
Node.js,Web Technology,Node; Node.js; NodeJS,"Specific, identifiable JavaScript runtime."
Object-Oriented Design,Software Engineering,Object-oriented design,"Corrected from earlier possible_skill: a specific, well-established software design methodology/concept, treated consistently with Microservices."
Objective-C,Programming Language,Objective-C,"Specific, identifiable programming language."
OpenAM,Cybersecurity,OpenAM,"Specific, identifiable identity/access management tool."
OpenCV,AI/ML,OpenCV,"Specific, identifiable computer-vision library."
Oracle Database,Database,Oracle,"Corrected from earlier possible_skill: in technical skill listings, a bare 'Oracle' overwhelmingly conventionally denotes Oracle Database (as with the already-confirmed MySQL/PostgreSQL/MongoDB entries), so it is treated consistently as a specific, identifiable database rather than left uncertain."
PHP,Programming Language,PHP,"Specific, identifiable programming language."
Perl,Programming Language,Perl,"Specific, identifiable programming language."
PhoneGap,Framework,PhoneGap,"Specific, identifiable hybrid mobile app framework (predecessor to Apache Cordova)."
PostgreSQL,Database,PostgreSQL,"Specific, identifiable relational database."
Puppet,DevOps,Puppet,"Specific, identifiable configuration-management tool."
PyTorch,AI/ML,PyTorch,"Specific, identifiable deep-learning library."
PyUnit,Testing,PyUnit,"Specific, identifiable Python unit-testing framework."
Python,Programming Language,Python,"Specific, identifiable programming language."
REST API,Web Technology,REST; Restful services,"Specific, identifiable architectural style/technology for APIs."
React,Framework,React; ReactJS,"Specific, identifiable front-end library/framework."
Redis,Database,Redis,"Specific, identifiable in-memory data store."
Regression Testing,Testing,Regression testing,"Specific, well-recognized software testing technique."
Relational Database Design,Database,Relational database design,"Specific, well-recognized database skill area."
Ruby,Programming Language,Ruby,"Specific, identifiable programming language."
SQL,Programming Language,SQL,"Specific, identifiable query language."
SYSPRO ERP,Other,SYSPRO’s ERP package,"Specific, identifiable named ERP software product."
Scala,Programming Language,Scala,"Specific, identifiable programming language."
Selenium,Testing,Selenium,"Specific, identifiable browser test-automation tool."
Apache Spark,Data Engineering,Spark,"Specific, identifiable big-data processing framework."
TCP/IP,Networking,TCP/IP,"Specific, identifiable networking protocol suite."
TensorFlow,AI/ML,TensorFlow,"Specific, identifiable deep-learning library."
Terraform,DevOps,Terraform,"Specific, identifiable infrastructure-as-code tool."
Protractor,Testing,Unit testing with Jasmine or protractor,"Split component 2 of 3: Protractor is a specific, identifiable end-to-end test framework for Angular apps, distinct from Jasmine (which it is often paired with, but not the same tool)."
Version Control,Developer Tools,Version Control,"Corrected from earlier possible_skill: a broad but specific, universally recognized technical concept/practice; kept distinct from the specific tool 'Git', which is already confirmed separately."
Vue.js,Framework,Vue,"Specific, identifiable front-end framework."
Windows,Operating System,Windows,"Specific, identifiable operating system family."
WordPress,Other,WordPress,"Specific, identifiable CMS platform."
Computer Vision,AI/ML,computer vision,"Corrected from earlier possible_skill: a specific, well-recognized CS/AI subfield, routinely listed as a discrete skill."
