original_candidate,canonical_name,classification,category,ontology_candidate,alias_of,reason
Cobbler,Cobbler,CONFIRMED_SKILL,DevOps,Yes,,"Specific, identifiable Linux provisioning tool."
Cocoa Touch,Cocoa Touch,CONFIRMED_SKILL,Framework,Yes,,"Specific, identifiable Apple iOS UI framework."
Core Animation,Core Animation,CONFIRMED_SKILL,Library,Yes,,"Specific, identifiable Apple graphics/animation framework."
Core Data,Core Data,CONFIRMED_SKILL,Library,Yes,,"Specific, identifiable Apple persistence framework."
Core Graphics,Core Graphics,CONFIRMED_SKILL,Library,Yes,,"Specific, identifiable Apple 2D graphics framework."
Core Text,Core Text,CONFIRMED_SKILL,Library,Yes,,"Specific, identifiable Apple text-rendering framework."
DNS,DNS,CONFIRMED_SKILL,Networking,Yes,,"Specific, identifiable networking protocol/system."
Database Design Administration,Database Design,CONFIRMED_SKILL,Database,Yes,,"Split component 1 of 2: 'Database Design' is a specific, well-recognized database skill, distinct from administration."
Database Design Administration,Database Administration,CONFIRMED_SKILL,Database,Yes,,"Split component 2 of 2: 'Database Administration' is a specific, well-recognized database skill, distinct from design."
Database Documentation,Database Documentation,POSSIBLE_SKILL,Database,No,,"Reconsidered from job_responsibility: a legitimate professional competency around documenting database structures/decisions. Distinguished from a core technical skill, so kept in manual review."
Database Programmer,Database Programmer,JOB_TITLE,Other,No,,"Job title, not a skill."
Deep Learning,Deep Learning,CONFIRMED_SKILL,AI/ML,Yes,,"Corrected from earlier possible_skill: a specific, well-recognized ML subfield/technique, routinely listed as a discrete skill."
Defect Management,Defect Management,POSSIBLE_SKILL,Testing,No,,"Reconsidered from job_responsibility: a recognized QA/professional competency (tracking and resolving defects). Distinguished from a core technical skill (no specific tool/technology named), so kept in manual review rather than added to the technical skill ontology or the technical-skill rejection list."
Django,Django,CONFIRMED_SKILL,Framework,Yes,,"Specific, identifiable Python web framework."
Docker,Docker,CONFIRMED_SKILL,DevOps,Yes,,"Specific, identifiable containerization tool."
Elasticsearch,Elasticsearch,CONFIRMED_SKILL,Database,Yes,,"Specific, identifiable search/analytics engine."
Exploratory testing,Exploratory Testing,CONFIRMED_SKILL,Testing,Yes,,"Specific, well-recognized software testing technique."
F5,F5,POSSIBLE_SKILL,Networking,No,,Kept in manual review per your flag: ambiguous on its own -- could refer to F5 Networks products (e.g. BIG-IP load balancers) or other 'F5'-branded tools; not assuming a specific product without more context.
Foreman,Foreman,CONFIRMED_SKILL,DevOps,Yes,,"Specific, identifiable provisioning/lifecycle-management tool."
Fraud Prevention,Fraud Prevention,POSSIBLE_SKILL,Domain Knowledge,No,,Broad business/domain area rather than a specific technology or tool.
Gerrit,Gerrit,CONFIRMED_SKILL,Developer Tools,Yes,,"Specific, identifiable code-review tool."
Git,Git,CONFIRMED_SKILL,Developer Tools,Yes,,"Specific, identifiable version control system."
GitLab CI,GitLab CI,CONFIRMED_SKILL,DevOps,Yes,,"Specific, identifiable CI/CD product within GitLab."
Go,Go,CONFIRMED_SKILL,Programming Language,Yes,,"Specific, identifiable programming language."
GraphQL,GraphQL,CONFIRMED_SKILL,Web Technology,Yes,,"Specific, identifiable API query technology."
HTML,HTML,CONFIRMED_SKILL,Web Technology,Yes,,"Specific, identifiable markup language."
HTML5,HTML,CONFIRMED_SKILL,Web Technology,Yes,HTML,"Same core skill as HTML; HTML5 is the current version, treated as the same ontology entry."
HTTP,HTTP,CONFIRMED_SKILL,Networking,Yes,,"Specific, identifiable networking protocol."
IBM Rational Clearcase,IBM Rational ClearCase,CONFIRMED_SKILL,Developer Tools,Yes,,"Specific, identifiable software configuration management tool."
Image Processing,Image Processing,CONFIRMED_SKILL,AI/ML,Yes,,"Corrected from earlier possible_skill: a specific, well-recognized technical domain/technique, treated consistently with Computer Vision."
Ionic,Ionic,CONFIRMED_SKILL,Framework,Yes,,"Specific, identifiable hybrid mobile app framework."
JQuery,jQuery,CONFIRMED_SKILL,Library,Yes,,"Specific, identifiable JavaScript library."
JS,JavaScript,CONFIRMED_SKILL,Programming Language,Yes,JavaScript,Common abbreviation for JavaScript.
Jasmine,Jasmine,CONFIRMED_SKILL,Testing,Yes,,"Specific, identifiable JavaScript testing framework."
Java,Java,CONFIRMED_SKILL,Programming Language,Yes,,"Specific, identifiable programming language."
Java 8+,Java,CONFIRMED_SKILL,Programming Language,Yes,Java,Same language as 'Java'; version qualifier does not name a functionally distinct ontology entry.
Java development,Java development,JOB_RESPONSIBILITY,Other,No,,Describes an activity ('developing in Java') rather than a distinct skill; the underlying skill (Java) is already captured separately.
JavaScript,JavaScript,CONFIRMED_SKILL,Programming Language,Yes,,"Specific, identifiable programming language."
Javascript,JavaScript,CONFIRMED_SKILL,Programming Language,Yes,JavaScript,Capitalization variant of JavaScript.
Jenkins,Jenkins,CONFIRMED_SKILL,DevOps,Yes,,"Specific, identifiable CI/CD automation server."
Jenkins configuration,Jenkins configuration,JOB_RESPONSIBILITY,DevOps,No,,Describes an activity (configuring Jenkins) rather than a distinct skill; the underlying tool (Jenkins) is already captured separately.
Karma,Karma,CONFIRMED_SKILL,Testing,Yes,,"Specific, identifiable JavaScript test runner."
Keras,Keras,CONFIRMED_SKILL,AI/ML,Yes,,"Specific, identifiable deep-learning library."
Kubernetes,Kubernetes,CONFIRMED_SKILL,DevOps,Yes,,"Specific, identifiable container-orchestration platform."
Linux,Linux,CONFIRMED_SKILL,Operating System,Yes,,"Specific, identifiable operating system family."
Machine Learning,Machine Learning,CONFIRMED_SKILL,AI/ML,Yes,,"Corrected from earlier possible_skill: a broad but specific, universally recognized technical field/skill area, routinely listed as a discrete skill; should not be left uncertain without a concrete reason."
Metadata,Metadata,POSSIBLE_SKILL,Unknown,No,,Kept in manual review per your flag: too generic/ambiguous a term on its own to assign a specific technical meaning without more context -- not forcing an assumed scope.
Micro-services pattern,Microservices,CONFIRMED_SKILL,Software Engineering,Yes,,"Specific, well-recognized architectural pattern."
Microsoft IIS,Microsoft IIS,CONFIRMED_SKILL,Web Technology,Yes,,"Specific, identifiable web server product."
MongoDB,MongoDB,CONFIRMED_SKILL,Database,Yes,,"Specific, identifiable NoSQL database."
MsSQL,Microsoft SQL Server,CONFIRMED_SKILL,Database,Yes,,Common abbreviation for Microsoft SQL Server.
Mule,Mule (MuleSoft),CONFIRMED_SKILL,Other,Yes,,"Specific, identifiable integration/ESB platform (MuleSoft)."
Multimedia Program Develop,Multimedia Program Development,JOB_RESPONSIBILITY,Other,No,,"Malformed phrase describing an activity/duty (developing multimedia programs), not a discrete named skill."
MySQL,MySQL,CONFIRMED_SKILL,Database,Yes,,"Specific, identifiable relational database."
NTP,NTP,CONFIRMED_SKILL,Networking,Yes,,"Specific, identifiable networking protocol (Network Time Protocol)."
Node,Node.js,CONFIRMED_SKILL,Web Technology,Yes,Node.js,Common shorthand for Node.js.
Node.js,Node.js,CONFIRMED_SKILL,Web Technology,Yes,,"Specific, identifiable JavaScript runtime."
NodeJS,Node.js,CONFIRMED_SKILL,Web Technology,Yes,Node.js,Spacing/casing variant of Node.js.
Object-oriented design,Object-Oriented Design,CONFIRMED_SKILL,Software Engineering,Yes,,"Corrected from earlier possible_skill: a specific, well-established software design methodology/concept, treated consistently with Microservices."
Objective-C,Objective-C,CONFIRMED_SKILL,Programming Language,Yes,,"Specific, identifiable programming language."
OpenAM,OpenAM,CONFIRMED_SKILL,Cybersecurity,Yes,,"Specific, identifiable identity/access management tool."
OpenCV,OpenCV,CONFIRMED_SKILL,AI/ML,Yes,,"Specific, identifiable computer-vision library."
Oracle,Oracle Database,CONFIRMED_SKILL,Database,Yes,,"Corrected from earlier possible_skill: in technical skill listings, a bare 'Oracle' overwhelmingly conventionally denotes Oracle Database (as with the already-confirmed MySQL/PostgreSQL/MongoDB entries), so it is treated consistently as a specific, identifiable database rather than left uncertain."
PHP,PHP,CONFIRMED_SKILL,Programming Language,Yes,,"Specific, identifiable programming language."
Perl,Perl,CONFIRMED_SKILL,Programming Language,Yes,,"Specific, identifiable programming language."
PhoneGap,PhoneGap,CONFIRMED_SKILL,Framework,Yes,,"Specific, identifiable hybrid mobile app framework (predecessor to Apache Cordova)."
PostgreSQL,PostgreSQL,CONFIRMED_SKILL,Database,Yes,,"Specific, identifiable relational database."
Puppet,Puppet,CONFIRMED_SKILL,DevOps,Yes,,"Specific, identifiable configuration-management tool."
PyTorch,PyTorch,CONFIRMED_SKILL,AI/ML,Yes,,"Specific, identifiable deep-learning library."
PyUnit,PyUnit,CONFIRMED_SKILL,Testing,Yes,,"Specific, identifiable Python unit-testing framework."
Python,Python,CONFIRMED_SKILL,Programming Language,Yes,,"Specific, identifiable programming language."
REST,REST API,CONFIRMED_SKILL,Web Technology,Yes,,"Specific, identifiable architectural style/technology for APIs."
React,React,CONFIRMED_SKILL,Framework,Yes,,"Specific, identifiable front-end library/framework."
ReactJS,React,CONFIRMED_SKILL,Framework,Yes,React,Common alternate name for React.
Redis,Redis,CONFIRMED_SKILL,Database,Yes,,"Specific, identifiable in-memory data store."
Regression testing,Regression Testing,CONFIRMED_SKILL,Testing,Yes,,"Specific, well-recognized software testing technique."
Relational OLTP queries,Relational OLTP Queries,POSSIBLE_SKILL,Database,No,,"Kept in manual review: a real database practice, but it's unclear whether it should be a distinct ontology entry or is better folded into general SQL/relational-database skill already captured elsewhere; needs a human call rather than an assumption."
Relational database design,Relational Database Design,CONFIRMED_SKILL,Database,Yes,,"Specific, well-recognized database skill area."
Restful services,REST API,CONFIRMED_SKILL,Web Technology,Yes,REST API,Same underlying technology/style as REST.
Ruby,Ruby,CONFIRMED_SKILL,Programming Language,Yes,,"Specific, identifiable programming language."
SQL,SQL,CONFIRMED_SKILL,Programming Language,Yes,,"Specific, identifiable query language."
SYSPRO’s ERP package,SYSPRO ERP,CONFIRMED_SKILL,Other,Yes,,"Specific, identifiable named ERP software product."
Scala,Scala,CONFIRMED_SKILL,Programming Language,Yes,,"Specific, identifiable programming language."
Security Configuration Management,Security Configuration Management,POSSIBLE_SKILL,Cybersecurity,No,,"Kept in manual review: a real security/compliance practice, but reads more like a compound professional competency/duty than one discrete named tool or technique -- distinguishing it from confirmed technical skills."
Security Specialist,Security Specialist,JOB_TITLE,Other,No,,"Job title, not a skill."
Selenium,Selenium,CONFIRMED_SKILL,Testing,Yes,,"Specific, identifiable browser test-automation tool."
Software Engineer,Software Engineer,JOB_TITLE,Other,No,,"Job title, not a skill."
Software Technician,Software Technician,JOB_TITLE,Other,No,,"Job title, not a skill."
Spark,Apache Spark,CONFIRMED_SKILL,Data Engineering,Yes,,"Specific, identifiable big-data processing framework."
Standard Procedure Definition,Standard Procedure Definition,POSSIBLE_SKILL,Software Engineering,No,,"Reconsidered from job_responsibility, for consistency with Defect Management/Test Management/Database Documentation: a process-definition competency rather than a discrete technical skill, kept in manual review rather than rejected outright."
Statistics,Statistics,POSSIBLE_SKILL,Domain Knowledge,No,,Broad academic domain rather than a specific technology or tool.
TCP/IP,TCP/IP,CONFIRMED_SKILL,Networking,Yes,,"Specific, identifiable networking protocol suite."
Telecommunication,Telecommunication,POSSIBLE_SKILL,Domain Knowledge,No,,Broad industry/domain term rather than a specific technology or tool.
TensorFlow,TensorFlow,CONFIRMED_SKILL,AI/ML,Yes,,"Specific, identifiable deep-learning library."
Terraform,Terraform,CONFIRMED_SKILL,DevOps,Yes,,"Specific, identifiable infrastructure-as-code tool."
Test Management,Test Management,POSSIBLE_SKILL,Testing,No,,"Reconsidered from job_responsibility: a recognized QA/professional competency (planning and tracking test efforts). Distinguished from a core technical skill, so kept in manual review."
Titanium,Titanium,POSSIBLE_SKILL,Unknown,No,,Kept in manual review: ambiguous on its own -- could refer to Appcelerator/Axway Titanium (a mobile app framework) or another 'Titanium'-branded product; not assuming a specific product without more context.
Training Development Specialist,Training Development Specialist,JOB_TITLE,Other,No,,"Job title, not a skill."
Unit testing with Jasmine or protractor,Jasmine,CONFIRMED_SKILL,Testing,Yes,Jasmine,"Split component 1 of 3: the Jasmine portion; same tool as the standalone 'Jasmine' candidate, treated as an alias of it."
Unit testing with Jasmine or protractor,Protractor,CONFIRMED_SKILL,Testing,Yes,,"Split component 2 of 3: Protractor is a specific, identifiable end-to-end test framework for Angular apps, distinct from Jasmine (which it is often paired with, but not the same tool)."
Unit testing with Jasmine or protractor,Unit Testing,POSSIBLE_SKILL,Testing,No,,"Split component 3 of 3: 'unit testing' on its own is a broad, general testing practice/methodology rather than a specific named tool; kept for manual review since the specific tools mentioned (Jasmine, Protractor) are already captured separately."
Version Control,Version Control,CONFIRMED_SKILL,Developer Tools,Yes,,"Corrected from earlier possible_skill: a broad but specific, universally recognized technical concept/practice; kept distinct from the specific tool 'Git', which is already confirmed separately."
Vue,Vue.js,CONFIRMED_SKILL,Framework,Yes,,"Specific, identifiable front-end framework."
Windows,Windows,CONFIRMED_SKILL,Operating System,Yes,,"Specific, identifiable operating system family."
WordPress,WordPress,CONFIRMED_SKILL,Other,Yes,,"Specific, identifiable CMS platform."
computer vision,Computer Vision,CONFIRMED_SKILL,AI/ML,Yes,,"Corrected from earlier possible_skill: a specific, well-recognized CS/AI subfield, routinely listed as a discrete skill."
